Date,Open,High,Low,Close,Adj Close,Volume
2018-03-13,18.100000,18.230000,17.219999,17.510000,17.510000,17667500
2018-03-14,17.520000,17.969999,17.490000,17.850000,17.850000,14665400
2018-03-15,17.860001,17.879999,16.910000,17.200001,17.200001,21688200
2018-03-16,17.200001,17.238001,16.790001,17.010000,17.010000,22292200
2018-03-19,17.010000,17.100000,16.110001,16.420000,16.420000,24708700
2018-03-20,16.400000,16.480000,15.620000,16.000000,16.000000,27101500
2018-03-21,16.170000,16.865000,16.120001,16.570000,16.570000,22924100
2018-03-22,16.320000,16.850000,16.139999,16.570000,16.570000,20098600
2018-03-23,16.670000,16.719999,16.129999,16.360001,16.360001,16428000
2018-03-26,16.450001,16.549999,15.900000,16.250000,16.250000,13650300
2018-03-27,16.260000,16.750000,16.059999,16.200001,16.200001,24737600
2018-03-28,16.030001,16.080000,15.550000,15.950000,15.950000,20652700
2018-03-29,15.940000,16.120001,15.650000,15.870000,15.870000,15434500
2018-04-02,15.670000,15.730000,14.450000,14.460000,14.460000,30892600
2018-04-03,15.670000,15.670000,13.800000,14.080000,14.080000,33231800
2018-04-04,13.690000,14.780000,13.620000,14.590000,14.590000,20131800
2018-04-05,14.700000,14.960000,14.195000,14.390000,14.390000,17015400
2018-04-06,14.350000,14.570000,13.980000,14.250000,14.250000,13533900
2018-04-09,14.280000,14.470000,14.040000,14.150000,14.150000,12383900
2018-04-10,14.290000,14.580000,14.180000,14.480000,14.480000,16189200
2018-04-11,14.440000,14.980000,14.420000,14.800000,14.800000,17711200
2018-04-12,15.240000,15.500000,14.770000,14.920000,14.920000,21099900
2018-04-13,14.950000,15.120000,14.360000,14.670000,14.670000,11518080
